state,year,over25_completed_highschool
AK,2019,40388.0
AK,2020,108134.0
AK,2021,33338.0
AK,2022,41002.0
AK,2023,37945.0
AL,2019,141066.0
AL,2020,507777.0
AL,2021,148642.0
AL,2022,147146.0
AL,2023,136840.0
AR,2019,81705.0
AR,2020,355456.0
AR,2021,90575.0
AR,2022,96430.0
AR,2023,95333.0
AZ,2019,589109.5
AZ,2020,874352.0
AZ,2021,567197.0
AZ,2022,614582.0
AZ,2023,597982.5
CA,2019,3055964.0
CA,2020,4544093.0
CA,2021,3017381.0
CA,2022,3011009.0
CA,2023,2956738.0
CO,2019,304729.0
CO,2020,565926.0
CO,2021,303325.0
CO,2022,329824.0
CO,2023,310096.0
CT,2019,155808.0
CT,2020,376865.0
CT,2021,148735.0
CT,2022,145535.0
CT,2023,154259.0
DC,2019,67492.0
DC,2020,70138.0
DC,2021,59776.0
DC,2022,53376.0
DC,2023,49639.0
DE,2019,17243.0
DE,2020,76042.0
DE,2021,13216.0
DE,2022,11695.0
DE,2023,12970.0
FL,2019,1206026.0
FL,2020,2777013.0
FL,2021,1181766.0
FL,2022,1206648.0
FL,2023,1276169.0
GA,2019,201470.0
GA,2020,726893.0
GA,2021,188778.0
GA,2022,219778.0
GA,2023,204365.0
HI,2019,55003.0
HI,2020,239077.0
HI,2021,54247.0
HI,2022,55752.0
HI,2023,52252.0
IA,2019,102327.0
IA,2020,433199.0
IA,2021,98698.0
IA,2022,100122.0
IA,2023,102939.0
ID,2019,41012.0
ID,2020,166153.0
ID,2021,49492.0
ID,2022,77734.0
ID,2023,77219.0
IL,2019,583327.0
IL,2020,1625365.0
IL,2021,525483.0
IL,2022,544332.0
IL,2023,546149.0
IN,2019,290905.5
IN,2020,818070.0
IN,2021,246444.5
IN,2022,256455.0
IN,2023,258240.0
KS,2019,141896.0
KS,2020,336801.0
KS,2021,129550.0
KS,2022,140332.0
KS,2023,143401.0
KY,2019,146030.0
KY,2020,412682.0
KY,2021,145397.0
KY,2022,135808.0
KY,2023,136645.0
LA,2019,198423.0
LA,2020,546879.0
LA,2021,182661.0
LA,2022,167218.0
LA,2023,169228.0
