state,year,white_alone,black_alone,american_indian_alaska_native_alone,asian_alone,native_hawaiian_pacific_islander_alone,other_race
AK,2019,180389.0,15207.0,25556.0,25976.0,8041.0,32831.0
NC,2019,1735773.0,1040476.0,16154.0,174135.0,1741.0,266867.0
MT,2019,166058.0,2475.0,6340.0,2484.0,0.0,7747.0
MO,2019,1062905.0,325435.0,5514.0,45001.0,4469.0,94282.0
MN,2019,1050474.0,208774.0,12245.0,148005.0,1144.0,106248.0
MI,2019,1143941.0,793168.0,10388.0,128821.0,194.0,125980.0
ME,2019,56900.0,4615.0,259.0,2122.0,30.0,2292.0
MD,2019,534960.0,551739.0,3807.0,116517.0,473.0,94510.0
ND,2019,167496.0,12833.0,5518.0,4372.0,135.0,8014.0
MA,2019,1220928.0,347377.0,9472.0,188704.0,1920.0,288420.0
KY,2019,721658.0,204632.0,1986.0,33525.0,540.0,48983.0
KS,2019,879372.0,117236.0,8795.0,61254.0,586.0,100853.0
IN,2019,1257283.0,379736.0,5696.0,84354.0,1481.0,128010.0
IL,2019,2500164.0,1028985.0,14512.0,356954.0,2510.0,511455.0
ID,2019,285568.0,3200.0,2902.0,6827.0,363.0,30166.0
IA,2019,646190.0,75551.0,4574.0,40933.0,221.0,42049.0
HI,2019,58828.0,8807.0,1169.0,179537.0,31132.0,65582.0
LA,2019,613979.0,570419.0,4003.0,37146.0,453.0,40730.0
NE,2019,611192.0,74359.0,6383.0,34105.0,632.0,40628.0
NH,2019,170520.0,9418.0,626.0,11552.0,46.0,9852.0
NJ,2019,609344.0,418588.0,4120.0,107157.0,184.0,279663.0
WI,2019,924969.0,290115.0,11515.0,69425.0,1972.0,116715.0
WA,2019,1920946.0,175094.0,31252.0,386191.0,23197.0,326776.0
VA,2019,1338531.0,730062.0,5196.0,128233.0,1697.0,182465.0
UT,2019,895650.0,18454.0,10440.0,38482.0,15430.0,118086.5
TX,2019,10385837.0,2141392.0,78242.0,929885.0,12455.0,1531982.0
TN,2019,1178108.0,778077.0,6244.0,68142.0,1923.0,114583.0
SD,2019,220493.0,14303.0,9766.0,5011.0,0.0,11722.0
SC,2019,317054.0,177042.0,553.0,12119.0,5932.0,31121.0
RI,2019,269221.0,59542.0,2473.0,20195.0,222.0,62795.0
PR,2019,500092.0,90903.0,1376.0,2119.0,109.0,180576.0
PA,2019,1120652.0,792851.0,9841.0,150072.0,1276.0,267699.0
OR,2019,1184217.0,52766.0,12152.0,102441.0,7781.0,142154.0
OK,2019,1029686.0,183038.0,58448.0,61184.0,1942.0,145286.0
OH,2019,1342819.0,807021.0,9747.0,91748.0,1007.0,154095.0
NY,2019,4149170.0,2440149.0,41791.0,1266063.0,5721.0,1681217.0
NV,2019,1467142.0,271119.0,25272.0,238168.0,19338.0,408177.0
NM,2019,651358.0,25100.0,34887.0,23948.0,728.0,111778.0
GA,2019,797665.0,707908.0,3233.0,95880.0,1161.0,78563.0
FL,2019,5172990.0,1593469.0,18394.0,251226.0,5945.0,538910.0
MS,2019,66158.0,159670.0,844.0,1122.0,0.0,4439.0
CA,2019,14092040.0,1725158.5,177823.0,4284563.5,109586.0,5087508.5
CO,2019,2509301.0,185922.0,28960.0,124997.0,4964.0,286384.0
DE,2019,25961.0,38802.0,134.0,848.0,0.0,4419.0
AZ,2019,3799185.0,290406.0,112912.0,208409.0,11780.0,462817.0
DC,2019,300058.0,320704.0,1886.0,28722.0,190.0,54189.0
AR,2019,484426.0,159262.0,3976.0,21133.0,8281.0,56767.0
AL,2019,469118.5,520162.0,3109.0,24729.0,214.0,38161.5
CT,2019,445949.0,216681.0,1754.0,41814.0,303.0,173450.0
UT,2020,2570339.0,37645.0,26645.0,72216.0,29012.0,289016.0
NH,2020,579108.0,16712.0,1130.0,24393.0,363.0,28828.0
NE,2020,1299973.0,86063.0,13763.0,41582.0,1034.0,113243.0
WV,2020,717020.0,41399.0,1597.0,8727.0,374.0,28698.0
ND,2020,520320.0,23433.0,26817.0,11554.0,972.0,29108.0
CA,2020,20708918.0,2207681.0,282342.0,5749510.0,145448.0,8435722.0
NC,2020,3913404.0,1684171.0,40405.0,263174.0,4741.0,479598.0
MT,2020,648710.0,5026.0,47013.0,6877.0,445.0,36596.0
NJ,2020,3665345.0,822170.0,16689.0,551032.0,2281.0,766480.0
MS,2020,812995.0,774255.0,9938.0,22566.0,1037.0,56531.0
MN,2020,3682253.0,356043.0,40868.0,269154.0,2044.0,308399.0
WY,2020,408617.0,4627.0,10867.0,4127.0,498.0,27529.0
MI,2020,3820200.0,1159850.0,25704.0,216098.0,1997.0,331728.0
CO,2020,3964696.0,221046.0,44361.0,168049.0,8353.0,521447.0
ME,2020,591741.0,15614.0,3847.0,10853.0,96.0,23111.0
MD,2020,2497003.0,1689482.0,14081.0,357029.0,2401.0,505993.0
MA,2020,3508137.0,468984.0,11074.0,367036.0,2097.0,536630.0
