B17001_002E,state,place,year
67331,39,15000,2019
8732,49,55980,2019
19946,49,83470,2019
18334,48,19972,2019
15352,48,48072,2019
34765,53,67000,2019
11692,53,67167,2019
23194,39,88000,2019
16122,53,05280,2019
3535,53,65922,2019
1993,53,61115,2019
7006,48,27684,2019
13489,48,79000,2019
15237,48,43888,2019
24813,53,74060,2019
7161,55,84250,2019
1582,49,70850,2019
21495,39,12000,2019
8384,55,02375,2019
255532,48,65000,2019
30228,48,29000,2019
13544,48,61796,2019
22185,48,32372,2019
4158,51,21088,2019
39030,51,57000,2019
,48,42016,2019
17072,48,10912,2019
11955,48,72176,2019
28116,49,67000,2019
71810,53,63000,2019
30121,48,57200,2019
29422,48,45384,2019
12753,53,35415,2019
50891,48,41464,2019
106449,48,27000,2019
3107,48,46452,2019
46941,48,10768,2019
1598,48,26232,2019
6613,53,03180,2019
4979,53,43955,2019
18480,53,80010,2019
3657,48,52356,2019
2380,48,04462,2019
17829,51,35000,2019
20084,51,03000,2019
25244,51,56000,2019
10718,51,47672,2019
45460,39,01000,2019
19755,40,52500,2019
4679,53,35940,2019
101536,40,55000,2019
12429,48,16432,2019
10725,48,06128,2019
26897,53,70000,2019
10951,53,35275,2019
37700,39,21000,2019
143363,39,18000,2019
4558,49,44320,2019
10211,49,57300,2019
26041,49,62470,2019
6684,39,61000,2019
7021,48,29336,2019
9960,48,53388,2019
16844,39,44856,2019
8561,40,09050,2019
54926,48,17000,2019
11519,48,75428,2019
25812,48,56000,2019
4836,48,56348,2019
41516,51,67000,2019
3366,53,57535,2019
11923,53,53545,2019
7334,53,57745,2019
7485,53,23515,2019
66963,39,77000,2019
9967,49,65330,2019
8653,53,05210,2019
18627,48,07000,2019
33717,48,76000,2019
5286,48,63572,2019
16686,48,01000,2019
125140,48,24000,2019
17052,40,41850,2019
9995,48,47892,2019
20672,48,30464,2019
8886,48,42508,2019
6247,49,43660,2019
9059,49,82950,2019
5827,49,67440,2019
5191,48,72656,2019
1096,51,14440,2019
13479,51,01000,2019
1653,48,41980,2019
24699,48,39148,2019
24448,48,37000,2019
,48,48804,2019
17323,51,64000,2019
21355,48,58016,2019
50844,48,45000,2019
3689,48,01924,2019
449733,48,35000,2019
81325,47,52006,2019
4142,48,70808,2019
8867,45,30850,2019
3148,45,48535,2019
7662,51,76432,2019
20092,51,68000,2019
6576,40,23200,2019
29839,51,82000,2019
47421,48,04000,2019
15053,48,45744,2019
20902,48,22660,2019
9085,45,61405,2019
17351,45,50875,2019
19091,51,16000,2019
4471,48,57176,2019
73586,40,75000,2019
11901,48,64472,2019
116046,48,05000,2019
11708,53,22640,2019
29975,48,03000,2019
5142,48,50820,2019
8575,48,13024,2019
232209,48,19000,2019
8008,48,63500,2019
12846,48,74144,2019
2635,48,13552,2019
22973,45,16000,2019
26389,48,15976,2019
14794,48,48768,2019
22940,41,64900,2019
28940,41,23850,2019
8809,42,06088,2019
5269,47,27740,2019
13817,47,38320,2019
25621,42,02000,2019
11085,41,47000,2019
15296,46,59020,2019
8971,41,05350,2019
53373,42,61000,2019
25678,42,24000,2019
10214,41,05800,2019
137977,47,48000,2019
359011,42,60000,2019
19356,47,51560,2019
21345,47,15160,2019
29244,47,14000,2019
79044,41,59000,2019
7786,44,19180,2019
16711,42,69000,2019
10210,46,52980,2019
14225,47,37640,2019
9247,41,34100,2019
12482,41,31250,2019
39178,47,40000,2019
4661,44,74300,2019
37151,44,59000,2019
10680,44,54640,2019
21195,42,63624,2019
16720,45,13330,2019
19311,38,25700,2019
19820,29,35000,2019
24918,34,74000,2019
27999,36,84000,2019
6673,34,13690,2019
14612,34,56550,2019
8195,37,25580,2019
13792,37,02140,2019
12264,34,19390,2019
55883,29,65000,2019
7855,34,73110,2019
16516,37,31400,2019
114309,39,16000,2019
11542,35,70500,2019
19686,36,01000,2019
1312028,36,51000,2019
3532,29,41348,2019
54336,31,37000,2019
49842,36,63000,2019
20461,37,28080,2019
49601,37,55000,2019
6011,37,14100,2019
95279,32,40000,2019
10018,32,68400,2019
35945,32,54600,2019
39628,32,71400,2019
31684,32,60600,2019
88953,35,02000,2019
40107,36,73000,2019
15271,36,65508,2019
25704,29,15670,2019
32762,29,70000,2019
25446,32,51800,2019
13951,32,23770,2019
29549,32,68585,2019
74648,29,38000,2019
3927,29,64082,2019
10059,30,50200,2019
23015,32,31900,2019
24076,37,74440,2019
13532,33,45140,2019
22561,35,39380,2019
6314,35,63460,2019
3458,36,08026,2019
70925,36,11000,2019
8047,36,50617,2019
7599,36,15000,2019
9716,36,49121,2019
12832,30,06550,2019
5792,33,50260,2019
55327,37,28000,2019
9695,34,74630,2019
37864,37,22920,2019
6016,37,34200,2019
97566,37,12000,2019
32564,31,28000,2019
36687,34,57000,2019
16598,34,21000,2019
46739,37,75000,2019
3496,29,54074,2019
20376,34,10000,2019
67923,34,51000,2019
8018,34,03580,2019
37473,34,36000,2019
7447,37,10740,2019
40928,37,19000,2019
12929,29,64550,2019
5276,38,07200,2019
7555,55,60500,2019
46255,72,06593,2019
27768,72,10334,2019
15229,55,66000,2019
53865,72,63820,2019
45194,72,14290,2019
121799,72,76770,2019
8278,55,22300,2019
17047,55,31000,2019
128555,55,53000,2019
12177,55,39225,2019
36408,55,48000,2019
11700,72,32522,2019
3094,06,81204,2019
19793,06,18100,2019
9489,06,80854,2019
14712,06,60620,2019
14467,08,32155,2019
13154,08,77290,2019
36325,06,62000,2019
7574,06,78120,2019
3993,06,48256,2019
9430,06,42202,2019
5381,06,51182,2019
2736,06,65084,2019
20437,06,06000,2019
8046,06,26000,2019
8102,06,04982,2019
20625,06,02553,2019
10071,06,13588,2019
13143,06,37692,2019
5456,06,11194,2019
18469,04,85540,2019
23854,05,41000,2019
32363,01,50000,2019
18497,01,77256,2019
13598,06,24477,2019
14420,06,32548,2019
3346,06,62364,2019
4347,04,10670,2019
23767,06,13392,2019
6548,06,81554,2019
3043,06,13214,2019
24441,06,24680,2019
13037,06,59451,2019
5573,06,81344,2019
16736,06,02252,2019
16967,06,82954,2019
13749,06,33000,2019
3983,06,41992,2019
8107,06,03666,2019
14869,06,36546,2019
13378,06,22020,2019
3663,06,49670,2019
5564,06,39496,2019
41488,06,69000,2019
5948,06,85292,2019
47377,06,75000,2019
30623,01,51000,2019
12343,08,43000,2019
83601,08,20000,2019
3947,06,57792,2019
59426,06,53000,2019
10952,06,08954,2019
20945,06,20802,2019
15399,04,65000,2019
8830,04,04720,2019
31512,04,73000,2019
4797,04,07940,2019
15314,06,80644,2019
5576,06,39892,2019
13407,06,33434,2019
24722,06,40130,2019
66693,06,43000,2019
15088,06,56000,2019
19199,06,58072,2019
4722,06,50258,2019
27382,06,22804,2019
8739,06,46842,2019
10200,06,16532,2019
12064,06,53980,2019
18590,06,22230,2019
13571,06,81666,2019
1989,06,47766,2019
14342,06,45022,2019
20038,06,46898,2019
8539,06,80238,2019
7428,04,64210,2019
50902,01,07000,2019
4478,01,35896,2019
10281,04,71510,2019
15481,05,24550,2019
2461,08,12415,2019
2441,08,09280,2019
14559,05,35710,2019
21534,06,53896,2019
15957,06,33182,2019
6806,06,56700,2019
7833,08,45970,2019
15389,04,54050,2019
17527,04,12000,2019
47021,04,27820,2019
59387,04,46000,2019
10162,04,23620,2019
258625,04,55000,2019
11551,04,27400,2019
8453,06,02364,2019
7848,06,65042,2019
6769,04,28380,2019
14429,06,21712,2019
22866,06,82590,2019
43628,06,02000,2019
12871,06,28000,2019
16518,06,36000,2019
6768,05,60410,2019
17623,05,23290,2019
16487,05,66080,2019
8448,06,57456,2019
2482,06,83346,2019
6147,06,17918,2019
11626,06,16000,2019
1465,06,68378,2019
11050,06,59920,2019
13573,01,21184,2019
28365,02,03000,2019
9236,06,45484,2019
71931,06,68000,2019
82356,06,67000,2019
4932,06,69084,2019
9751,06,82996,2019
43478,08,16000,2019
25028,08,62000,2019
651205,06,44000,2019
17580,06,69088,2019
10966,06,59444,2019
8629,06,86972,2019
8758,06,77000,2019
153361,06,66000,2019
27573,06,64224,2019
10820,06,23182,2019
14459,22,08920,2019
13382,19,01855,2019
10899,19,82425,2019
2324,13,01696,2019
5565,13,67284,2019
7878,12,24562,2019
,12,00410,2019
12055,12,58715,2019
45623,12,53000,2019
6341,12,36100,2019
12678,12,45025,2019
10662,12,16475,2019
13066,12,14400,2019
8496,12,54200,2019
10634,12,54000,2019
14439,12,08150,2019
3473,17,68003,2019
9337,26,86000,2019
21762,26,03000,2019
43432,26,34000,2019
2475,06,55282,2019
33799,01,37000,2019
15848,01,03076,2019
32490,19,21000,2019
20298,19,12000,2019
5661,24,32650,2019
33163,18,25000,2019
14983,17,79293,2019
,12,57900,2019
12553,13,80508,2019
49589,12,30000,2019
14906,12,32275,2019
94209,12,45000,2019
14944,12,16525,2019
18551,17,72000,2019
21063,17,12385,2019
7762,27,06616,2019
1770,27,40166,2019
11777,26,76460,2019
17929,19,38595,2019
16143,20,38900,2019
6901,24,31175,2019
134443,18,36003,2019
25866,18,71000,2019
33312,17,65000,2019
31475,15,71550,2019
20772,13,01052,2019
21259,17,03012,2019
14949,12,24125,2019
6635,12,71569,2019
10950,12,68350,2019
5648,27,17288,2019
4674,27,35180,2019
5110,26,27440,2019
8139,06,80000,2019
26001,06,48354,2019
8936,06,80812,2019
13952,06,60466,2019
5882,06,11390,2019
19811,18,51876,2019
7795,24,72450,2019
5297,24,32025,2019
1389,08,36410,2019
20099,10,77580,2019
90534,11,50000,2019
36724,09,08000,2019
28337,09,80000,2019
95034,13,04000,2019
4378,17,07133,2019
14164,17,38570,2019
9530,12,17935,2019
17982,12,45060,2019
18551,26,42160,2019
3923,27,71428,2019
11467,27,56896,2019
5808,27,07966,2019
5380,26,49000,2019
6485,06,11530,2019
