B15003_017E,state,place,year
39166,39,15000,2019
14228,49,55980,2019
23964,49,83470,2019
12594,48,19972,2019
16786,48,48072,2019
24216,53,67000,2019
16340,53,67167,2019
13974,39,88000,2019
,53,05280,2019
9286,53,65922,2019
,53,61115,2019
11782,48,27684,2019
17763,48,79000,2019
11981,48,43888,2019
27081,53,74060,2019
10013,55,84250,2019
,49,70850,2019
18127,39,12000,2019
10506,55,02375,2019
220383,48,65000,2019
31206,48,29000,2019
7336,48,61796,2019
8875,48,32372,2019
9265,51,21088,2019
32607,51,57000,2019
,48,42016,2019
11124,48,10912,2019
11177,48,72176,2019
22711,49,67000,2019
40734,53,63000,2019
10638,48,57200,2019
16147,48,45384,2019
19291,53,35415,2019
24500,48,41464,2019
121250,48,27000,2019
,48,46452,2019
22120,48,10768,2019
,48,26232,2019
13436,53,03180,2019
12468,53,43955,2019
11892,53,80010,2019
10045,48,52356,2019
6820,48,04462,2019
23713,51,35000,2019
11212,51,03000,2019
30456,51,56000,2019
8958,51,47672,2019
40371,39,01000,2019
10040,40,52500,2019
6380,53,35940,2019
94523,40,55000,2019
12206,48,16432,2019
14692,48,06128,2019
32526,53,70000,2019
12036,53,35275,2019
20457,39,21000,2019
127598,39,18000,2019
,49,44320,2019
6940,49,57300,2019
5536,49,62470,2019
20574,39,61000,2019
,48,29336,2019
17811,48,53388,2019
12367,39,44856,2019
13514,40,09050,2019
54322,48,17000,2019
11233,48,75428,2019
25484,48,56000,2019
,48,56348,2019
28026,51,67000,2019
,53,57535,2019
8879,53,53545,2019
14688,53,57745,2019
17194,53,23515,2019
48753,39,77000,2019
9197,49,65330,2019
5751,53,05210,2019
19413,48,07000,2019
17460,48,76000,2019
,48,63572,2019
18311,48,01000,2019
81595,48,24000,2019
15228,40,41850,2019
25223,48,47892,2019
30582,48,30464,2019
16057,48,42508,2019
,49,43660,2019
19809,49,82950,2019
10057,49,67440,2019
,48,72656,2019
,51,14440,2019
11653,51,01000,2019
,48,41980,2019
19825,48,39148,2019
29376,48,37000,2019
9124,48,48804,2019
16073,51,64000,2019
24402,48,58016,2019
28578,48,45000,2019
,48,01924,2019
296780,48,35000,2019
78847,47,52006,2019
10550,48,70808,2019
5787,45,30850,2019
,45,48535,2019
12983,51,76432,2019
19476,51,68000,2019
8506,40,23200,2019
47968,51,82000,2019
55254,48,04000,2019
20377,48,45744,2019
10578,48,22660,2019
10090,45,61405,2019
20054,45,50875,2019
34394,51,16000,2019
,48,57176,2019
56705,40,75000,2019
13651,48,64472,2019
82938,48,05000,2019
14426,53,22640,2019
28338,48,03000,2019
13240,48,50820,2019
18606,48,13024,2019
174440,48,19000,2019
15499,48,63500,2019
9549,48,74144,2019
,48,13552,2019
11994,45,16000,2019
,48,15976,2019
10691,48,48768,2019
16482,41,64900,2019
15747,41,23850,2019
14291,42,06088,2019
,47,27740,2019
7338,47,38320,2019
27625,42,02000,2019
14632,41,47000,2019
25857,46,59020,2019
12405,41,05350,2019
42935,42,61000,2019
20734,42,24000,2019
9419,41,05800,2019
119574,47,48000,2019
311748,42,60000,2019
14752,47,51560,2019
22971,47,15160,2019
26786,47,14000,2019
59709,41,59000,2019
12165,44,19180,2019
19195,42,69000,2019
10121,46,52980,2019
10644,47,37640,2019
11974,41,34100,2019
14922,41,31250,2019
27793,47,40000,2019
14543,44,74300,2019
29675,44,59000,2019
14363,44,54640,2019
15560,42,63624,2019
14405,45,13330,2019
16142,38,25700,2019
25601,29,35000,2019
16243,34,74000,2019
28296,36,84000,2019
19444,34,13690,2019
14950,34,56550,2019
13449,37,25580,2019
10181,37,02140,2019
12973,34,19390,2019
44282,29,65000,2019
21851,34,73110,2019
11870,37,31400,2019
67066,39,16000,2019
9062,35,70500,2019
7822,36,01000,2019
1227636,36,51000,2019
,29,41348,2019
60448,31,37000,2019
25841,36,63000,2019
12431,37,28080,2019
44603,37,55000,2019
12574,37,14100,2019
104174,32,40000,2019
16390,32,68400,2019
43834,32,54600,2019
32717,32,71400,2019
30417,32,60600,2019
71370,35,02000,2019
17354,36,73000,2019
12097,36,65508,2019
8320,29,15670,2019
25493,29,70000,2019
45989,32,51800,2019
26244,32,23770,2019
38322,32,68585,2019
76293,29,38000,2019
9876,29,64082,2019
,30,50200,2019
48515,32,31900,2019
13525,37,74440,2019
19877,33,45140,2019
10008,35,39380,2019
12592,35,63460,2019
14165,36,08026,2019
35657,36,11000,2019
11660,36,50617,2019
17574,36,15000,2019
10992,36,49121,2019
17552,30,06550,2019
13507,33,50260,2019
36313,37,28000,2019
13305,34,74630,2019
28730,37,22920,2019
,37,34200,2019
81040,37,12000,2019
29306,31,28000,2019
41786,34,57000,2019
31506,34,21000,2019
35806,37,75000,2019
12072,29,54074,2019
11926,34,10000,2019
66476,34,51000,2019
12941,34,03580,2019
34929,34,36000,2019
10543,37,10740,2019
28517,37,19000,2019
17440,29,64550,2019
9637,38,07200,2019
13650,55,60500,2019
23292,72,06593,2019
12486,72,10334,2019
13406,55,66000,2019
19948,72,63820,2019
22963,72,14290,2019
43765,72,76770,2019
,55,22300,2019
18434,55,31000,2019
99104,55,53000,2019
15940,55,39225,2019
20502,55,48000,2019
6664,72,32522,2019
10079,06,81204,2019
,06,18100,2019
8623,06,80854,2019
12869,06,60620,2019
12806,08,32155,2019
21080,08,77290,2019
50655,06,62000,2019
10310,06,78120,2019
8278,06,48256,2019
10991,06,42202,2019
,06,51182,2019
,06,65084,2019
3651,06,06000,2019
28784,06,26000,2019
10164,06,04982,2019
16559,06,02553,2019
13770,06,13588,2019
