B19013_001E,state,place,year
46031,01,03076,2019
36753,01,07000,2019
47411,01,21184,2019
98689,01,35896,2019
54342,01,37000,2019
46788,01,50000,2019
51074,01,51000,2019
40934,01,77256,2019
82716,02,03000,2019
71296,04,04720,2019
83348,04,07940,2019
70278,04,10670,2019
83709,04,12000,2019
58900,04,23620,2019
102793,04,27400,2019
57137,04,27820,2019
85147,04,28380,2019
63836,04,46000,2019
77368,04,54050,2019
60931,04,55000,2019
75624,04,64210,2019
86097,04,65000,2019
76405,04,71510,2019
66297,04,73000,2019
44365,04,77000,2019
47249,04,85540,2019
46805,05,15190,2019
44859,05,23290,2019
43097,05,24550,2019
42939,05,35710,2019
54878,05,41000,2019
40870,05,50450,2019
65823,05,60410,2019
47960,05,66080,2019
109545,06,00562,2019
74132,06,00884,2019
76075,06,02000,2019
72412,06,02252,2019
51314,06,02364,2019
54974,06,02553,2019
62402,06,03526,2019
66997,06,03666,2019
67658,06,04982,2019
95360,06,06000,2019
87378,06,08786,2019
73613,06,08954,2019
90290,06,10046,2019
123409,06,11194,2019
68377,06,11390,2019
84502,06,11530,2019
59876,06,13014,2019
87090,06,13210,2019
103473,06,13214,2019
87876,06,13392,2019
61898,06,13588,2019
89398,06,14218,2019
62200,06,15044,2019
102477,06,16000,2019
86790,06,16350,2019
91857,06,16532,2019
101834,06,17918,2019
60619,06,18100,2019
74590,06,19766,2019
53194,06,20802,2019
63236,06,21712,2019
94971,06,22020,2019
50829,06,22230,2019
58157,06,22804,2019
89693,06,23182,2019
52152,06,24477,2019
119824,06,24638,2019
80800,06,24680,2019
144118,06,26000,2019
53161,06,27000,2019
93983,06,28000,2019
72240,06,29000,2019
68392,06,30000,2019
60361,06,32548,2019
96886,06,33000,2019
39653,06,33182,2019
50271,06,33434,2019
102423,06,36000,2019
74774,06,36448,2019
61780,06,36546,2019
111574,06,36770,2019
76090,06,37692,2019
120405,06,39248,2019
77090,06,39486,2019
118888,06,39496,2019
97508,06,39892,2019
56672,06,40130,2019
138225,06,41992,2019
67484,06,42202,2019
67804,06,43000,2019
67418,06,44000,2019
53966,06,44574,2019
50364,06,45022,2019
82265,06,45484,2019
77033,06,46842,2019
50309,06,46898,2019
140124,06,47766,2019
119798,06,48256,2019
62067,06,48354,2019
65449,06,49270,2019
147915,06,49670,2019
100080,06,50076,2019
