B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,place,year
58595,142107,1323,3497,0,1877,2681,01,07000,2019
40302,24139,77,847,21,1739,1397,01,21184,2019
61453,16972,0,3659,0,1978,1710,01,35896,2019
120229,65522,607,3498,132,7133,4473,01,37000,2019
73758,104747,511,3487,61,1305,4841,01,50000,2019
62981,120428,591,6933,0,3446,4146,01,51000,2019
50849,46061,0,2808,0,233,1182,01,77256,2019
180389,15207,25556,25976,8041,6490,26341,02,03000,2019
61927,9896,1072,1707,602,9326,3387,04,04720,2019
61615,6149,718,510,171,7492,2969,04,07940,2019
59608,1104,1600,1726,0,3018,3784,04,10670,2019
180690,14417,6305,30649,122,14471,14495,04,12000,2019
58558,1242,3846,2628,308,3364,5098,04,23620,2019
212599,8450,2989,13059,77,6538,10403,04,27400,2019
190046,20321,6871,9797,100,16940,8309,04,27820,2019
65235,7234,1371,4010,0,5648,3345,04,28380,2019
421882,28816,16396,13304,1903,19830,15850,04,46000,2019
143477,6275,820,8800,190,7093,9305,04,54050,2019
1289208,122763,34465,67512,5668,96681,64691,04,55000,2019
82250,4771,5672,1198,0,3981,2860,04,64210,2019
228165,5238,3567,12995,249,1416,6434,04,65000,2019
121534,8080,1349,3090,243,3934,3444,04,71510,2019
144455,14782,3601,18138,204,8049,6587,04,73000,2019
394079,28528,20580,17344,1733,50570,35248,04,77000,2019
83857,2340,1690,1942,210,4250,4007,04,85540,2019
51583,12086,0,1352,0,552,2067,05,15190,2019
71568,6014,1316,3049,0,2722,2916,05,23290,2019
55772,8413,963,5194,0,11058,6495,05,24550,2019
55163,17862,188,1527,0,475,3165,05,35710,2019
102108,83562,767,6085,102,1727,2967,05,41000,2019
32455,27574,132,893,0,2500,2345,05,50450,2019
60808,1020,610,1668,1894,1279,1395,05,60410,2019
54969,2731,0,1365,6285,13264,1840,05,66080,2019
34922,6467,418,25234,96,4025,6468,06,00562,2019
17800,2361,540,45339,0,14799,2893,06,00884,2019
228882,12032,2545,63812,2336,29529,11215,06,02000,2019
40859,23551,563,18317,762,19182,8272,06,02252,2019
57296,4292,712,1189,479,5615,3881,06,02364,2019
64503,11352,422,6910,1653,9897,13490,06,02553,2019
259241,26672,4369,29637,844,46814,16582,06,03526,2019
41140,497,933,15749,0,11439,5482,06,03666,2019
23738,13179,62,6561,248,29889,2768,06,04982,2019
72845,7549,609,27183,345,3893,8929,06,06000,2019
44145,865,48,27646,65,6614,2400,06,08786,2019
73104,2998,747,14081,0,4702,6876,06,08954,2019
54288,1397,558,7434,90,2491,3629,06,10046,2019
96652,441,50,12311,0,471,5461,06,11194,2019
54950,2412,254,2834,702,1126,4522,06,11390,2019
20981,25604,184,25774,1258,12764,4842,06,11530,2019
84193,2672,479,4133,359,6821,4658,06,13014,2019
63597,3722,289,14109,1088,7439,4108,06,13210,2019
34500,1869,299,36200,189,6021,4765,06,13214,2019
172080,14063,858,49733,1191,22798,13762,06,13392,2019
72188,2965,1559,2958,0,2805,5317,06,13588,2019
80183,3456,1986,11643,842,9531,6941,06,14218,2019
32503,21659,233,376,452,38307,2071,06,15044,2019
77326,5281,934,17729,104,17979,9967,06,16000,2019
91545,8802,1014,22101,290,38837,7265,06,16350,2019
65384,1003,992,12279,549,27779,5025,06,16532,2019
24409,2633,832,63816,568,10459,3577,06,17918,2019
42765,2207,1104,18858,379,1261,2846,06,18100,2019
67098,2997,150,7128,162,29785,3807,06,19766,2019
68041,395,1437,1745,59,47096,1117,06,20802,2019
80533,5091,84,4052,357,8008,4574,06,21712,2019
74606,16212,1186,59652,3418,7486,12231,06,22020,2019
32272,736,1627,37395,1847,37111,4489,06,22230,2019
118117,2429,526,8755,892,12819,8081,06,22804,2019
60766,16993,366,18749,2361,7881,10020,06,23182,2019
38773,4583,1068,380,0,24081,1264,06,24477,2019
55425,4451,0,16655,445,1843,2505,06,24638,2019
71848,17558,2627,13085,116,95133,14190,06,24680,2019
57616,7428,1539,148114,1316,14403,10701,06,26000,2019
321138,37875,5317,73306,623,70030,23292,06,27000,2019
88762,1882,619,32031,36,8474,6834,06,28000,2019
73060,859,691,75333,406,16734,4587,06,29000,2019
150462,3139,141,32297,330,7016,5916,06,30000,2019
51217,18505,275,4619,152,8501,2793,06,32548,2019
46791,15163,1305,47010,4179,32600,12154,06,33000,2019
65421,6380,586,1765,0,8279,2910,06,33182,2019
75719,2855,895,2603,218,7912,5551,06,33434,2019
133661,2307,907,25384,1822,22950,12197,06,36000,2019
66170,5790,893,1793,0,14300,2810,06,36448,2019
36297,43590,310,2617,155,21133,4068,06,36546,2019
137374,6776,293,123458,474,3515,15497,06,36770,2019
57170,2453,1586,4932,0,38026,5358,06,37692,2019
50060,1465,111,6285,191,4152,4120,06,39248,2019
37144,5261,196,5858,428,14930,5466,06,39486,2019
57117,689,262,17708,192,5845,3716,06,39496,2019
37496,11889,433,16893,175,8453,3963,06,39892,2019
94807,40095,493,6418,53,9715,6023,06,40130,2019
64441,1823,434,11090,334,4524,7542,06,41992,2019
43525,995,60,8577,0,1636,12788,06,42202,2019
242002,52141,4802,55726,2702,83076,22196,06,43000,2019
2073794,344360,31761,463908,5482,899460,160772,06,44000,2019
47162,8542,58,221,0,13167,752,06,44574,2019
36149,1979,166,1386,925,24450,804,06,45022,2019
56842,4918,797,9124,1170,3054,7132,06,45484,2019
56059,7160,416,6024,1326,18063,5690,06,46842,2019
31790,2720,680,10773,0,34209,3496,06,46898,2019
13021,2915,729,55330,0,6720,5469,06,47766,2019
70227,1879,120,10598,95,5707,5749,06,48256,2019
169111,10648,1637,12992,1341,10771,8696,06,48354,2019
73477,40111,964,13666,296,79263,5287,06,49270,2019
45629,1356,230,25558,0,6308,3645,06,49670,2019
85091,7130,465,6713,406,8331,8087,06,50076,2019
60100,755,225,1821,96,12041,3092,06,50258,2019
70396,610,659,7618,127,2332,2780,06,51182,2019
38717,5652,727,12866,951,41624,3409,06,52526,2019
149406,108013,5526,61929,1676,79122,27372,06,53000,2019
134321,7457,2261,8394,1454,8389,13486,06,53322,2019
114932,8225,1010,12600,1278,36466,10488,06,53896,2019
102645,1859,828,16811,2002,8794,5722,06,53980,2019
159225,5191,2300,18139,42,15766,8212,06,54652,2019
92743,24708,5886,7105,941,20079,3603,06,55156,2019
35937,1667,58,22318,87,1148,4150,06,55282,2019
69813,8182,306,24594,69,30022,8054,06,56000,2019
23126,8784,0,4346,41,42207,790,06,56700,2019
26832,9335,745,10564,239,18248,6606,06,57456,2019
45848,815,314,27517,0,3284,4016,06,57792,2019
71953,8145,3094,16229,289,46140,5846,06,58072,2019
40311,7957,299,10563,636,5842,9478,06,59444,2019
105194,14331,969,24986,0,18763,13371,06,59451,2019
77779,1481,2572,4262,42,2451,4011,06,59920,2019
55702,2548,119,7542,0,2305,3300,06,59962,2019
46608,1332,240,10595,0,1213,6769,06,60018,2019
50716,1196,852,13303,1691,13571,4597,06,60102,2019
67740,17317,751,2411,0,10816,4505,06,60466,2019
26993,20178,974,14236,58,41758,6378,06,60620,2019
192912,17525,3066,25947,1305,74787,15827,06,62000,2019
54853,718,197,7973,144,797,4133,06,62364,2019
113327,4122,772,14486,157,1062,7566,06,62938,2019
226820,60056,4539,94364,9645,76200,41996,06,64000,2019
44033,2756,461,8284,64,95943,3932,06,64224,2019
122992,33969,743,10068,769,37196,10043,06,65000,2019
93037,2158,832,2930,0,3892,6259,06,65042,2019
53787,1102,187,3392,77,1579,4438,06,65084,2019
931529,87265,7309,242168,6718,69070,79793,06,66000,2019
398662,48225,3568,307649,3785,69536,50124,06,67000,2019
434112,30288,5459,385177,4025,110271,52454,06,68000,2019
29704,10544,330,30378,1874,12091,3901,06,68084,2019
74391,2245,362,9062,0,5340,5273,06,68196,2019
52046,1747,30,26790,1620,13429,8776,06,68252,2019
30035,601,47,40254,0,710,4337,06,68378,2019
95953,3246,1458,36643,1168,186560,7304,06,69000,2019
71742,915,532,3412,40,11658,3058,06,69070,2019
45282,3720,748,60674,2426,10622,6899,06,69084,2019
154633,10412,1341,22177,571,15269,8572,06,69088,2019
46329,1455,447,6570,0,4642,5162,06,69112,2019
91878,2210,1570,3223,0,6948,1444,06,69196,2019
71095,3775,726,8370,0,2131,4304,06,70000,2019
108787,4547,1854,11176,1117,38768,10512,06,70098,2019
93465,1450,536,15820,821,8001,5501,06,72016,2019
23163,1285,475,31430,1530,7525,2373,06,73262,2019
139637,31426,1766,71285,2460,26841,39267,06,75000,2019
60749,1690,614,68032,95,12358,9172,06,77000,2019
75928,2948,537,16135,264,9498,9441,06,78120,2019
104092,2762,196,10834,138,4760,4033,06,78582,2019
61318,5072,1207,54151,346,8847,12648,06,80000,2019
58006,4275,345,12337,930,10011,8847,06,80238,2019
55104,713,1028,923,249,5223,2268,06,80644,2019
60566,1772,102,4076,408,2433,4272,06,80812,2019
46823,1508,588,16861,0,9933,3633,06,80854,2019
15746,3500,386,39345,1025,7533,6564,06,81204,2019
44971,6989,410,6781,121,12734,5117,06,81344,2019
63694,8450,1538,11143,1045,5928,8871,06,81554,2019
44849,24043,546,28713,227,14914,8400,06,81666,2019
74872,22685,1156,2481,0,14272,6933,06,82590,2019
